antecedents,consequents,co_count,support,confidence,lift
fashion_childrens_clothes,bed_bath_table,5.0,3.695163769658271e-05,0.29411764705882354,2.5042566737241083
pc_gamer,auto,4.0,2.956131015726617e-05,0.2222222222222222,3.6728146248116933
portateis_cozinha_e_preparadores_de_alimentos,bed_bath_table,6.0,4.434196523589925e-05,0.1935483870967742,1.647962456257155
diapers_and_hygiene,housewares,8.0,5.912262031453234e-05,0.14035087719298245,1.7373669284362674
security_and_services,fashion_underwear_beach,1.0,7.390327539316542e-06,0.125,69.31967213114754
security_and_services,fashion_bags_accessories,1.0,7.390327539316542e-06,0.125,4.516421895861148
security_and_services,watches_gifts,1.0,7.390327539316542e-06,0.125,1.954697792673061
security_and_services,housewares,1.0,7.390327539316542e-06,0.125,1.5473424206385509
security_and_services,sports_leisure,1.0,7.390327539316542e-06,0.125,1.2154354699626329
security_and_services,health_beauty,1.0,7.390327539316542e-06,0.125,1.2005110369792036
security_and_services,bed_bath_table,1.0,7.390327539316542e-06,0.125,1.064309086332746
fashion_childrens_clothes,fashion_bags_accessories,2.0,1.4780655078633085e-05,0.11764705882352941,4.2507500196340215
fashion_childrens_clothes,garden_tools,2.0,1.4780655078633085e-05,0.11764705882352941,3.044961519420316
arts_and_craftmanship,housewares,7.0,5.17322927752158e-05,0.11666666666666667,1.4441862592626475
arts_and_craftmanship,health_beauty,7.0,5.17322927752158e-05,0.11666666666666667,1.1204769678472568
home_comfort_2,telephony,5.0,3.695163769658271e-05,0.11627906976744186,2.3333758695494726
pc_gamer,furniture_decor,2.0,1.4780655078633085e-05,0.1111111111111111,1.2298295841854123
pc_gamer,sports_leisure,2.0,1.4780655078633085e-05,0.1111111111111111,1.080387084411229
home_confort,bed_bath_table,71.0,0.0005247132552914745,0.10741301059001512,0.9145651452904686
party_supplies,bed_bath_table,9.0,6.651294785384888e-05,0.10714285714285714,0.9122649311423537
dvds_blu_ray,sports_leisure,17.0,0.0001256355681683812,0.10429447852760736,1.0141056681896814
fashion_sport,furniture_decor,8.0,5.912262031453234e-05,0.1038961038961039,1.1499705202772688
fashio_female_clothing,bed_bath_table,9.0,6.651294785384888e-05,0.10344827586206896,0.8808075197236519
portateis_cozinha_e_preparadores_de_alimentos,housewares,3.0,2.2170982617949626e-05,0.0967741935483871,1.1979425192040394
furniture_mattress_and_upholstery,furniture_decor,6.0,4.434196523589925e-05,0.09523809523809523,1.0541396435874963
home_comfort_2,furniture_decor,4.0,2.956131015726617e-05,0.09302325581395349,1.0296247681552289
fashion_sport,sports_leisure,7.0,5.17322927752158e-05,0.09090909090909091,0.883953069063733
fashion_sport,bed_bath_table,7.0,5.17322927752158e-05,0.09090909090909091,0.7740429718783608
cine_photo,bed_bath_table,11.0,8.129360293248197e-05,0.08870967741935484,0.7553161257845294
diapers_and_hygiene,bed_bath_table,5.0,3.695163769658271e-05,0.08771929824561403,0.746883569356313
dvds_blu_ray,computers_accessories,14.0,0.0001034645855504316,0.08588957055214724,1.118780282109371
fashion_shoes,health_beauty,56.0,0.0004138583422017264,0.08497723823975721,0.8161288991907182
fixed_telephony,furniture_decor,41.0,0.00030300342911197825,0.08333333333333333,0.9223721881390592
la_cuisine,health_beauty,3.0,2.2170982617949626e-05,0.08333333333333333,0.800340691319469
fashion_male_clothing,sports_leisure,27.0,0.00019953884356154665,0.08231707317073171,0.8004087241217339
furniture_mattress_and_upholstery,sports_leisure,5.0,3.695163769658271e-05,0.07936507936507936,0.7717050602937351
musical_instruments,bed_bath_table,103.0,0.0007612037365496039,0.07910906298003072,0.6735719563273292
fashion_shoes,bed_bath_table,51.0,0.00037690670450514366,0.07738998482549317,0.6589349123274058
fixed_telephony,housewares,38.0,0.0002808324464940286,0.07723577235772358,0.9560814956791046
books_imported,bed_bath_table,10.0,7.390327539316543e-05,0.07692307692307693,0.6549594377432284
furniture_bedroom,bed_bath_table,15.0,0.00011085491308974813,0.07575757575757576,0.645035809898634
flowers,bed_bath_table,4.0,2.956131015726617e-05,0.07547169811320754,0.6426017125027901
fixed_telephony,sports_leisure,37.0,0.00027344211895471206,0.07520325203252033,0.7312375998149174
signaling_and_security,sports_leisure,26.0,0.0001921485160222301,0.07492795389048991,0.7285607428018087
costruction_tools_garden,bed_bath_table,30.0,0.00022170982617949626,0.07389162561576355,0.6291482283740372
dvds_blu_ray,furniture_decor,12.0,8.86839304717985e-05,0.0736196319018405,0.8148564116075125
